layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.100000 74.000000 
1.000000 3.900000 74.000000 
1.000000 11.000000 68.000000 
1.000000 15.000000 92.000000 
1.000000 5.000000 68.000000 
1.000000 6.000000 185.000000 
1.000000 5.000000 197.000000 
1.000000 2.000000 197.000000 
1.000000 0.300000 197.000000 
1.000000 0.200000 197.000000 
1.000000 4.500000 215.000000 
1.000000 8.000000 242.000000 
1.000000 5.000000 280.000000 
2.000000 1.000000 -999.000000 
3.000000 5.000000 -999.000000 
3.000000 8.000000 -999.000000 
