layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 74.932637 
1.000000 10.500000 197.006105 
1.000000 1.000000 199.213921 
1.000000 3.000000 199.213921 
1.000000 4.000000 180.036538 
1.000000 1.000000 178.648363 
1.000000 10.000000 179.158647 
1.000000 2.000000 225.037820 
1.000000 5.000000 213.474207 
1.000000 14.000000 210.020141 
2.000000 2.000000 -999.000000 
3.000000 7.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 23.000000 -999.000000 
