layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 4.000000 60.000000 
1.000000 16.000000 76.000000 
1.000000 4.000000 135.000000 
1.000000 0.100000 181.000000 
1.000000 3.900000 181.000000 
1.000000 2.000000 121.000000 
1.000000 3.000000 121.000000 
1.000000 3.000000 154.000000 
1.000000 0.400000 154.000000 
1.000000 9.600000 150.000000 
1.000000 10.000000 201.000000 
1.000000 0.100000 266.000000 
1.000000 0.200000 266.000000 
1.000000 1.700000 266.000000 
1.000000 2.000000 266.000000 
1.000000 1.000000 279.000000 
1.000000 5.000000 279.000000 
1.000000 6.000000 304.000000 
1.000000 8.000000 326.000000 
1.000000 4.000000 322.000000 
1.000000 3.000000 344.000000 
1.000000 0.500000 307.000000 
1.000000 1.500000 307.000000 
1.000000 11.000000 326.000000 
1.000000 0.600000 343.000000 
1.000000 2.400000 343.000000 
1.000000 13.000000 395.000000 
1.000000 3.000000 365.000000 
1.000000 19.000000 421.000000 
1.000000 10.000000 353.000000 
2.000000 6.000000 311.000000 
3.000000 2.000000 342.000000 
3.000000 12.000000 342.000000 
3.000000 25.000000 -999.000000 
