layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 9.000000 65.966292 
1.000000 0.500000 125.000000 
1.000000 8.500000 179.352941 
1.000000 1.000000 169.000000 
1.000000 8.000000 154.750000 
1.000000 2.000000 305.000000 
1.000000 9.000000 258.888889 
1.000000 7.000000 231.428571 
1.000000 19.000000 267.421053 
1.000000 2.000000 260.000000 
1.000000 2.000000 255.000000 
1.000000 6.000000 271.166667 
1.000000 29.000000 368.931034 
1.000000 10.000000 365.500000 
1.000000 1.000000 363.000000 
1.000000 7.000000 364.714286 
2.000000 8.000000 365.625000 
3.000000 2.000000 305.000000 
3.000000 25.000000 280.280000 
3.000000 8.000000 291.875000 
3.000000 0.500000 350.000000 
3.000000 7.500000 350.000000 
