layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.500000 170.563323 
1.000000 2.500000 170.563323 
1.000000 9.000000 170.563323 
1.000000 6.000000 170.563323 
1.000000 10.000000 200.540231 
1.000000 1.000000 244.662492 
1.000000 3.000000 254.664819 
1.000000 1.000000 290.127612 
1.000000 5.000000 290.127612 
1.000000 1.000000 290.127612 
1.000000 6.000000 300.185326 
1.000000 0.200000 355.721401 
1.000000 4.800000 355.721401 
1.000000 12.000000 317.214797 
2.000000 13.000000 265.088769 
3.000000 0.500000 270.584405 
3.000000 4.500000 270.584405 
3.000000 2.000000 270.584405 
3.000000 16.000000 270.584405 
3.000000 8.000000 -999.000000 
