layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 2.000000 342.000000 
1.000000 4.000000 324.750000 
1.000000 10.000000 324.100000 
1.000000 6.000000 368.166667 
1.000000 0.500000 398.000000 
1.000000 2.500000 422.000000 
1.000000 1.000000 458.000000 
1.000000 22.000000 366.772727 
1.000000 14.000000 403.214286 
1.000000 0.500000 436.000000 
1.000000 27.500000 413.636364 
1.000000 0.500000 483.000000 
1.000000 25.500000 451.980392 
1.000000 8.000000 451.125000 
1.000000 1.000000 466.000000 
1.000000 8.000000 434.500000 
1.000000 7.000000 346.000000 
1.000000 2.000000 371.500000 
2.000000 26.000000 324.250000 
