Gc(J/m^2)	P
0.03764341959628351	0.997464580673701
0.05095391933929426	0.9950749110521622
0.06426441908230501	0.9916442630341257
0.07757491882531575	0.9871123310656239
0.0908854185683265	0.981469296635507
0.10419591831133726	0.9747429723282675
0.117506418054348	0.9669875015402877
0.13081691779735874	0.9582742229085774
0.1441274175403695	0.9486846401151964
0.15743791728338025	0.9383051970133522
0.170748417026391	0.9272235072892073
0.18405891676940173	0.9155257140783306
0.1973694165124125	0.9032947064004508
0.21067991625542323	0.8906089735965579
0.22399041599843397	0.8775419274711209
0.23730091574144474	0.8641615620529418
0.2506114154844555	0.8505303528973238
0.2639219152274662	0.8367053227293415
0.277232414970477	0.8227382192699133
0.29054291471348775	0.8086757655131134
0.3038534144564985	0.7945599535733388
0.31716391419950923	0.7804283613348686
0.33047441394252	0.7663144771744719
0.34378491368553077	0.7522480225000825
0.3570954134285415	0.738255265144612
0.37040591317155225	0.7243593190690412
0.383716412914563	0.7105804275858878
0.3970269126575737	0.6969362285806737
0.41033741240058447	0.6834420011110184
0.42364791214359526	0.6701108933948924
0.436958411886606	0.6569541326320664
0.45026891162961674	0.6439812173888116
0.4635794113726275	0.6312000934549719
0.4768899111156382	0.6186173141841621
0.49020041085864896	0.606238186374022
0.5035109106016596	0.5940669027505152
0.5168214103446704	0.5821066621003036
0.5301319100876812	0.5703597780571887
0.5434424098306919	0.5588277774990087
0.5567529095737027	0.547511489455004
0.5700634093167134	0.5364111253639405
0.5833739090597242	0.5255263514626117
0.5966844088027349	0.5148563540244886
0.6099949085457457	0.5043998981103259
0.6233054082887564	0.4941553804372877
0.6366159080317672	0.48412087692100414
0.649926407774778	0.4742941853962237
0.6632369075177886	0.4646728639763986
0.6765474072607994	0.4552542654706879
0.6898579070038101	0.4460355682383135
0.7031684067468209	0.43701380382488086
0.7164789064898316	0.4281858816929649
0.7297894062328424	0.41954861132978705
0.7430999059758532	0.41109872198797737
0.7564104057188639	0.40283288029101827
0.7697209054618747	0.39474770591282604
0.7830314052048853	0.38683978552083775
0.7963419049478961	0.3791056851537744
0.8096524046909069	0.3715419611887796
0.8229629044339176	0.3641451700377183
0.8362734041769284	0.35691187669893354
0.8495839039199391	0.34983866227857163
0.8628944036629499	0.34292213058455756
0.8762049034059606	0.33615891388634467
0.8895154031489714	0.329545677924559
0.9028259028919822	0.3230791262465288
0.9161364026349929	0.3167560039363383
0.9294469023780036	0.31057310080140765
0.9427574021210143	0.3045272540716013
0.9560679018640251	0.2986153506614484
0.9693784016070358	0.2928343290411606
0.9826889013500466	0.2871811807577046
0.9959994010930574	0.2816529516431918
1.0093099008360682	0.27624674274422645
1.0226204005790789	0.27095971100258764
1.0359309003220896	0.26578906971466665
1.0492414000651005	0.2607320887944069
1.0625518998081112	0.2557860948620797
1.075862399551122	0.25094847117904173
1.0891728992941327	0.246216657446646
1.1024833990371434	0.2415881494856893
1.1157938987801541	0.23706049881115954
1.129104398523165	0.2326313121155874
1.1424148982661757	0.2282982506729765
1.1557253980091864	0.2240590296740963
1.1690358977521973	0.2199114175028276
1.182346397495208	0.21585323496227915
1.1956568972382187	0.21188235445849868
1.2089673969812293	0.2079966991488027
1.2222778967242403	0.20419424206101855
1.235588396467251	0.20047300518928002
1.2488988962102616	0.19683105857141436
1.2622093959532725	0.19326651935242778
1.2755198956962832	0.18977755083810544
1.288830395439294	0.186362361542302
1.3021408951823046	0.18301920423109985
1.3154513949253155	0.1797463749666549
1.3287618946683262	0.1765422121532202
1.3420723944113369	0.17340509558754702
1.3553828941543478	0.17033344551559637
1.3686933938973584	0.16732572169725324
1.3820038936403691	0.16438042248052143
1.3953143933833798	0.16149608388648118
1.4086248931263907	0.15867127870611464
1.4219353928694014	0.15590461560994828
1.435245892612412	0.15319473827131724
1.448556392355423	0.15054032450392962
1.4618668920984337	0.14794008541429093
1.4751773918414444	0.14539276456945216
1.4884878915844553	0.1428971371804426
1.501798391327466	0.14045200930167545
1.5151088910704766	0.1380562170465338
1.5284193908134873	0.13570862581928034
1.5417298905564982	0.13340812956337733
1.555040390299509	0.13115365002624668
1.5683508900425196	0.12894413604045796
1.5816613897855305	0.1267785628212883
1.5949718895285412	0.12465593128056418
1.6082823892715519	0.12257526735665891
1.6215928890145626	0.12053562136049956
1.6349033887575735	0.1185360673374034
1.6482138885005841	0.11657570244455073
1.6615243882435948	0.11465364634387809
1.6748348879866057	0.11276904061016269
1.6881453877296164	0.1109210481540559
1.701455887472627	0.10910885265980808
1.7147663872156378	0.10733165803742839
1.7280768869586487	0.10558868788900178
1.7413873867016594	0.10387918498889248
1.75469788644467	0.10220241077755143
1.768008386187681	0.1005576448686416
1.7813188859306917	0.0989441845692014
1.7946293856737023	0.09736134441255251
1.807939885416713	0.09580845570366847
1.821250385159724	0.09428486607671915
1.8345608849027346	0.09278993906450039
1.8478713846457453	0.09132305367947113
1.8611818843887562	0.08988360400611395
1.8744923841317669	0.08847099880433973
1.8878028838747776	0.0870846611236662
1.9011133836177883	0.08572402792789213
1.9144238833607992	0.08438854973000698
1.9277343831038098	0.08307769023706713
1.9410448828468205	0.08179092600478266
1.9543553825898314	0.08052774610155922
1.9676658823328421	0.07928765178174713
1.9809763820758528	0.07807015616784985
1.9942868818188635	0.07687478394145453
2.007597381561874	0.07570107104264945
2.020907881304885	0.07454856437769697
2.0342183810478955	0.07341682153473883
2.0475288807909067	0.07230541050731354
2.0608393805339174	0.07121390942547146
2.074149880276928	0.07014190629427675
2.0874603800199387	0.06908899873949426
2.1007708797629494	0.0680547937602588
