Gc(J/m^2)	probability
0.03764341959628351	0.0025354193262989455
0.05095391933929426	0.004925088947837865
0.06426441908230501	0.008355736965874324
0.07757491882531575	0.012887668934376102
0.0908854185683265	0.018530703364493056
0.10419591831133726	0.025257027671732542
0.117506418054348	0.03301249845971236
0.13081691779735874	0.0417257770914226
0.1441274175403695	0.05131535988480359
0.15743791728338025	0.06169480298664771
0.170748417026391	0.07277649271079263
0.18405891676940173	0.08447428592166933
0.1973694165124125	0.09670529359954916
0.21067991625542323	0.10939102640344212
0.22399041599843397	0.12245807252887914
0.23730091574144474	0.1358384379470582
0.2506114154844555	0.14946964710267624
0.2639219152274662	0.1632946772706585
0.277232414970477	0.17726178073008664
0.29054291471348775	0.19132423448688668
0.3038534144564985	0.2054400464266612
0.31716391419950923	0.2195716386651314
0.33047441394252	0.23368552282552818
0.34378491368553077	0.2477519774999175
0.3570954134285415	0.26174473485538796
0.37040591317155225	0.27564068093095884
0.383716412914563	0.28941957241411226
0.3970269126575737	0.30306377141932633
0.41033741240058447	0.3165579988889816
0.42364791214359526	0.3298891066051076
0.436958411886606	0.34304586736793363
0.45026891162961674	0.35601878261118836
0.4635794113726275	0.36879990654502814
0.4768899111156382	0.3813826858158379
0.49020041085864896	0.3937618136259779
0.5035109106016596	0.40593309724948484
0.5168214103446704	0.4178933378996964
0.5301319100876812	0.4296402219428112
0.5434424098306919	0.44117222250099136
0.5567529095737027	0.45248851054499595
0.5700634093167134	0.4635888746360595
0.5833739090597242	0.47447364853738827
0.5966844088027349	0.48514364597551146
0.6099949085457457	0.495600101889674
0.6233054082887564	0.5058446195627123
0.6366159080317672	0.5158791230789959
0.649926407774778	0.5257058146037763
0.6632369075177886	0.5353271360236014
0.6765474072607994	0.5447457345293121
0.6898579070038101	0.5539644317616865
0.7031684067468209	0.5629861961751191
0.7164789064898316	0.5718141183070351
0.7297894062328424	0.580451388670213
0.7430999059758532	0.5889012780120226
0.7564104057188639	0.5971671197089817
0.7697209054618747	0.605252294087174
0.7830314052048853	0.6131602144791622
0.7963419049478961	0.6208943148462256
0.8096524046909069	0.6284580388112204
0.8229629044339176	0.6358548299622817
0.8362734041769284	0.6430881233010665
0.8495839039199391	0.6501613377214284
0.8628944036629499	0.6570778694154424
0.8762049034059606	0.6638410861136553
0.8895154031489714	0.670454322075441
0.9028259028919822	0.6769208737534712
0.9161364026349929	0.6832439960636617
0.9294469023780036	0.6894268991985923
0.9427574021210143	0.6954727459283987
0.9560679018640251	0.7013846493385516
0.9693784016070358	0.7071656709588394
0.9826889013500466	0.7128188192422954
0.9959994010930574	0.7183470483568082
1.0093099008360682	0.7237532572557736
1.0226204005790789	0.7290402889974124
1.0359309003220896	0.7342109302853334
1.0492414000651005	0.7392679112055931
1.0625518998081112	0.7442139051379203
1.075862399551122	0.7490515288209583
1.0891728992941327	0.753783342553354
1.1024833990371434	0.7584118505143107
1.1157938987801541	0.7629395011888405
1.129104398523165	0.7673686878844126
1.1424148982661757	0.7717017493270235
1.1557253980091864	0.7759409703259037
1.1690358977521973	0.7800885824971724
1.182346397495208	0.7841467650377208
1.1956568972382187	0.7881176455415013
1.2089673969812293	0.7920033008511973
1.2222778967242403	0.7958057579389815
1.235588396467251	0.79952699481072
1.2488988962102616	0.8031689414285856
1.2622093959532725	0.8067334806475722
1.2755198956962832	0.8102224491618946
1.288830395439294	0.813637638457698
1.3021408951823046	0.8169807957689001
1.3154513949253155	0.8202536250333451
1.3287618946683262	0.8234577878467798
1.3420723944113369	0.826594904412453
1.3553828941543478	0.8296665544844036
1.3686933938973584	0.8326742783027468
1.3820038936403691	0.8356195775194786
1.3953143933833798	0.8385039161135188
1.4086248931263907	0.8413287212938854
1.4219353928694014	0.8440953843900517
1.435245892612412	0.8468052617286828
1.448556392355423	0.8494596754960704
1.4618668920984337	0.8520599145857091
1.4751773918414444	0.8546072354305478
1.4884878915844553	0.8571028628195574
1.501798391327466	0.8595479906983245
1.5151088910704766	0.8619437829534662
1.5284193908134873	0.8642913741807197
1.5417298905564982	0.8665918704366227
1.555040390299509	0.8688463499737533
1.5683508900425196	0.871055863959542
1.5816613897855305	0.8732214371787117
1.5949718895285412	0.8753440687194358
1.6082823892715519	0.8774247326433411
1.6215928890145626	0.8794643786395004
1.6349033887575735	0.8814639326625966
1.6482138885005841	0.8834242975554493
1.6615243882435948	0.8853463536561219
1.6748348879866057	0.8872309593898373
1.6881453877296164	0.8890789518459441
1.701455887472627	0.8908911473401919
1.7147663872156378	0.8926683419625716
1.7280768869586487	0.8944113121109982
1.7413873867016594	0.8961208150111075
1.75469788644467	0.8977975892224486
1.768008386187681	0.8994423551313584
1.7813188859306917	0.9010558154307986
1.7946293856737023	0.9026386555874475
1.807939885416713	0.9041915442963315
1.821250385159724	0.9057151339232808
1.8345608849027346	0.9072100609354996
1.8478713846457453	0.9086769463205289
1.8611818843887562	0.910116395993886
1.8744923841317669	0.9115290011956603
1.8878028838747776	0.9129153388763338
1.9011133836177883	0.9142759720721079
1.9144238833607992	0.915611450269993
1.9277343831038098	0.9169223097629329
1.9410448828468205	0.9182090739952173
1.9543553825898314	0.9194722538984408
1.9676658823328421	0.9207123482182529
1.9809763820758528	0.9219298438321502
1.9942868818188635	0.9231252160585455
2.007597381561874	0.9242989289573506
2.020907881304885	0.925451435622303
2.0342183810478955	0.9265831784652612
2.0475288807909067	0.9276945894926865
2.0608393805339174	0.9287860905745285
2.074149880276928	0.9298580937057233
2.0874603800199387	0.9309110012605057
2.1007708797629494	0.9319452062397412
