Gc(J/m^2)	probability_density
0.1262913478847351	0.6660120720903011
0.3035872044616383	0.9365794763769858
0.4808830610385414	0.9157665991241642
0.6581789176154446	0.6868249493431231
0.8354747741923477	0.7284507038487668
1.012770630769251	0.603573440331835
1.1900664873461542	0.35381891329797244
1.3673623439230573	0.2081287725282191
1.5446582004999605	0.062438631758465736
1.7219540570768637	0.062438631758465736
1.8992499136537668	0.08325150901128764
2.0765457702306698	0.04162575450564382
2.2538416268075734	0.02081287725282191
2.431137483384476	0.0
2.6084333399613797	0.04162575450564382
2.7857291965382824	0.02081287725282191
2.963025053115186	0.02081287725282191
3.1403209096920888	0.02081287725282191
3.3176167662689924	0.0
3.494912622845895	0.0
3.6722084794227987	0.04162575450564382
3.8495043359997014	0.0
4.026800192576605	0.04162575450564382
4.204096049153508	0.0
4.3813919057304105	0.0
4.558687762307313	0.0
4.735983618884218	0.0
4.91327947546112	0.0
5.090575332038023	0.0
5.267871188614926	0.0
5.44516704519183	0.020812877252821858
5.622462901768733	0.020812877252821962
5.799758758345636	0.0
5.9770546149225385	0.0
6.154350471499443	0.0
6.331646328076346	0.0
6.5089421846532485	0.0
6.686238041230151	0.0
6.863533897807056	0.0
7.040829754383958	0.0
7.218125610960861	0.0
7.395421467537764	0.0
7.572717324114668	0.0
7.750013180691571	0.0
7.927309037268474	0.0
8.104604893845378	0.0
8.281900750422281	0.0
8.459196606999186	0.0
8.636492463576086	0.0
8.813788320152991	0.0
8.991084176729894	0.0
9.168380033306796	0.020812877252821962
9.345675889883701	0.0
9.522971746460604	0.0
9.700267603037506	0.0
9.87756345961441	0.0
10.054859316191312	0.0
10.232155172768216	0.0
10.409451029345119	0.0
10.586746885922022	0.0
10.764042742498926	0.0
10.941338599075829	0.0
11.118634455652732	0.0
11.295930312229636	0.0
11.473226168806537	0.0
11.650522025383442	0.0
11.827817881960344	0.0
12.005113738537247	0.0
12.182409595114152	0.0
12.359705451691054	0.0
12.537001308267957	0.0
12.714297164844861	0.0
12.891593021421762	0.0
13.068888877998667	0.0
13.24618473457557	0.020812877252821754
