Gc(J/m^2)	probability_density
0.03764341959628351	0.143080441277206
0.05095391933929426	0.217515719891118
0.06426441908230501	0.298703152968625
0.07757491882531575	0.38235929671846375
0.0908854185683265	0.4651854378004989
0.10419591831133726	0.5448046459525716
0.117506418054348	0.619609591978741
0.13081691779735874	0.6885972697538842
0.1441274175403695	0.7512206626950397
0.15743791728338025	0.8072663188130654
0.170748417026391	0.8567578334629276
0.18405891676940173	0.8998819130426641
0.1973694165124125	0.9369328782692241
0.21067991625542323	0.9682716862987396
0.22399041599843397	0.9942961293941928
0.23730091574144474	1.0154195072436913
0.2506114154844555	1.0320556519813615
0.2639219152274662	1.044608672309446
0.277232414970477	1.0534661737478883
0.29054291471348775	1.0589950172439508
0.3038534144564985	1.0615389130963973
0.31716391419950923	1.0614173258324868
0.33047441394252	1.0589253007785555
0.34378491368553077	1.0543339247360186
0.3570954134285415	1.0478912094237363
0.37040591317155225	1.039823243374558
0.383716412914563	1.030335500519959
0.3970269126575737	1.0196142253603473
0.41033741240058447	1.0078278381176498
0.42364791214359526	0.9951283206476375
0.436958411886606	0.9816525566903891
0.45026891162961674	0.967523609413395
0.4635794113726275	0.9528519260200339
0.4768899111156382	0.9377364641070121
0.49020041085864896	0.9222657379459988
0.5035109106016596	0.9065187853032529
0.5168214103446704	0.8905660570712084
0.5301319100876812	0.8744702330736803
0.5434424098306919	0.8582869680757578
0.5567529095737027	0.8420655723960144
0.5700634093167134	0.8258496316685036
0.5833739090597242	0.809677570299293
0.5966844088027349	0.7935831630546805
0.6099949085457457	0.7775959990408491
0.6233054082887564	0.7617419021134558
0.6366159080317672	0.7460433115092255
0.649926407774778	0.730519626233644
0.6632369075177886	0.7151875164788641
0.6765474072607994	0.7000612050906462
0.6898579070038101	0.6851527218570375
0.7031684067468209	0.6704721331574208
0.7164789064898316	0.6560277492902751
0.7297894062328424	0.6418263115923322
0.7430999059758532	0.6278731612710295
0.7564104057188639	0.6141723916961114
0.7697209054618747	0.6007269857344246
0.7830314052048853	0.5875389395637592
0.7963419049478961	0.5746093742662238
0.8096524046909069	0.5619386363783
0.8229629044339176	0.549526388462521
0.8362734041769284	0.5373716906638298
0.8495839039199391	0.5254730741212592
0.8628944036629499	0.5138286070218437
0.8762049034059606	0.5024359540078832
0.8895154031489714	0.4912924295800904
0.9028259028919822	0.48039504607718614
0.9161364026349929	0.46974055675645365
0.9294469023780036	0.45932549444916204
0.9427574021210143	0.4491462062190484
0.9560679018640251	0.43919888441076577
0.9693784016070358	0.42947959443792044
0.9826889013500466	0.4199842996266787
0.9959994010930574	0.41070888340052497
1.0093099008360682	0.4016491690643221
1.0226204005790789	0.39280093742105016
1.0359309003220896	0.38415994243222834
1.0492414000651005	0.37572192511282093
1.0625518998081112	0.36748262583318025
1.075862399551122	0.3594377951840862
1.0891728992941327	0.35158320354605793
1.1024833990371434	0.34391464949063827
1.1157938987801541	0.33642796712919165
1.129104398523165	0.3291190325137539
1.1424148982661757	0.32198376918452526
1.1557253980091864	0.3150181529495998
1.1690358977521973	0.308218215974391
1.182346397495208	0.30158005025084755
1.1956568972382187	0.29509981050988754
1.2089673969812293	0.28877371663445645
1.2222778967242403	0.2825980556251435
1.235588396467251	0.27656918316535706
1.2488988962102616	0.27068352482857455
1.2622093959532725	0.26493757696613196
1.2755198956962832	0.2593279073103396
1.288830395439294	0.25385115532438585
1.3021408951823046	0.2485040323274694
1.3154513949253155	0.24328332142086756
1.3287618946683262	0.23818587723817283
1.3420723944113369	0.23320862554067565
1.3553828941543478	0.22834856267684078
1.3686933938973584	0.22360275492297527
1.3820038936403691	0.21896833772050786
1.3953143933833798	0.2144425148237886
1.4086248931263907	0.21002255737092848
1.4219353928694014	0.20570580288896406
1.435245892612412	0.2014896542434849
1.448556392355423	0.19737157854184675
1.4618668920984337	0.19334910599815572
1.4751773918414444	0.18941982876736357
1.4884878915844553	0.18558139975505475
1.501798391327466	0.18183153140880554
1.5151088910704766	0.17816799449637155
1.5284193908134873	0.1745886168753872
1.5417298905564982	0.1710912822587468
1.555040390299509	0.16767392897937
1.5683508900425196	0.16433454875762596
1.5816613897855305	0.1610711854743177
1.5949718895285412	0.15788193395177189
1.6082823892715519	0.1547649387452708
1.6215928890145626	0.15171839294678216
1.6349033887575735	0.14874053700268064
1.6482138885005841	0.14582965754693208
1.6615243882435948	0.14298408625099546
1.6748348879866057	0.14020219869151693
1.6881453877296164	0.13748241323671667
1.701455887472627	0.13482318995221834
1.7147663872156378	0.1322230295269387
1.7280768869586487	0.12968047221952303
1.7413873867016594	0.12719409682571411
1.75469788644467	0.12476251966693283
1.768008386187681	0.12238439360026937
1.7813188859306917	0.1200584070500006
1.7946293856737023	0.11778328306068052
1.807939885416713	0.11555777837179103
1.821250385159724	0.11338068251388139
1.8345608849027346	0.11125081692608085
1.8478713846457453	0.10916703409482155
1.8611818843887562	0.10712821671357686
1.8744923841317669	0.10513327686338246
1.8878028838747776	0.10318115521388237
1.9011133836177883	0.10127082024461777
1.9144238833607992	0.09940126748625344
1.9277343831038098	0.09757151878142158
1.9410448828468205	0.09578062156484557
1.9543553825898314	0.09402764816239541
1.9676658823328421	0.09231169510871709
1.9809763820758528	0.09063188248306743
1.9942868818188635	0.08898735326298371
2.007597381561874	0.08737727269541055
2.020907881304885	0.08580082768490338
2.0342183810478955	0.08425722619852888
2.0475288807909067	0.0827456966870786
2.0608393805339174	0.08126548752221713
2.074149880276928	0.07981586644918257
2.0874603800199387	0.07839612005466524
2.1007708797629494	0.07700555324948816
