layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.100000 124.000000 
1.000000 0.100000 124.000000 
1.000000 2.800000 124.000000 
1.000000 5.000000 135.000000 
1.000000 5.000000 228.000000 
1.000000 6.000000 248.000000 
1.000000 8.000000 283.000000 
1.000000 4.000000 312.000000 
1.000000 5.000000 297.000000 
1.000000 1.000000 297.000000 
1.000000 4.000000 297.000000 
1.000000 22.000000 382.000000 
1.000000 12.000000 380.000000 
1.000000 2.000000 352.000000 
1.000000 5.000000 352.000000 
1.000000 1.000000 266.000000 
2.000000 8.000000 266.000000 
3.000000 0.100000 316.000000 
3.000000 1.900000 316.000000 
3.000000 18.000000 316.000000 
3.000000 5.000000 -999.000000 
3.000000 9.000000 -999.000000 
