layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 116.805085 
1.000000 10.500000 160.313348 
1.000000 1.000000 140.148566 
1.000000 3.000000 229.645643 
1.000000 4.000000 200.690724 
1.000000 1.000000 200.690724 
1.000000 10.000000 201.322411 
2.000000 2.000000 201.477383 
3.000000 5.000000 201.477383 
3.000000 14.000000 214.747568 
3.000000 2.000000 221.710760 
3.000000 7.000000 221.710760 
3.000000 1.000000 221.710760 
3.000000 1.000000 221.710760 
3.000000 1.000000 221.710760 
3.000000 1.000000 221.710760 
3.000000 2.000000 221.710760 
3.000000 23.000000 -999.000000 
