layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 7.000000 51.000000 
1.000000 16.000000 88.000000 
1.000000 4.000000 182.000000 
1.000000 8.000000 162.000000 
1.000000 6.000000 205.000000 
1.000000 7.000000 172.000000 
1.000000 3.000000 230.000000 
1.000000 0.800000 125.000000 
1.000000 3.200000 236.000000 
1.000000 6.000000 233.000000 
1.000000 3.000000 309.500000 
1.000000 0.500000 309.500000 
1.000000 3.500000 267.500000 
1.000000 14.000000 333.500000 
1.000000 3.000000 334.000000 
1.000000 2.000000 334.000000 
1.000000 0.200000 334.000000 
1.000000 16.800000 383.000000 
1.000000 13.000000 332.500000 
2.000000 5.000000 288.500000 
3.000000 2.000000 315.500000 
3.000000 6.000000 315.500000 
3.000000 8.000000 -999.000000 
3.000000 4.000000 -999.000000 
3.000000 8.000000 -999.000000 
3.000000 22.000000 -999.000000 
