layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.500000 135.000000 
1.000000 2.000000 135.000000 
1.000000 9.500000 135.000000 
1.000000 8.000000 161.000000 
1.000000 6.000000 186.000000 
1.000000 11.000000 193.000000 
1.000000 12.000000 280.000000 
1.000000 0.100000 250.000000 
1.000000 0.500000 250.000000 
1.000000 0.200000 250.000000 
1.000000 0.700000 250.000000 
1.000000 1.000000 250.000000 
1.000000 5.500000 250.000000 
1.000000 1.000000 250.000000 
1.000000 7.000000 236.000000 
1.000000 1.000000 216.000000 
2.000000 2.000000 216.000000 
3.000000 18.000000 281.000000 
3.000000 9.000000 -999.000000 
3.000000 16.000000 -999.000000 
