layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 6.000000 60.250000 
1.000000 9.000000 110.330000 
1.000000 6.000000 127.000000 
2.000000 7.000000 105.500000 
3.000000 0.200000 105.500000 
3.000000 6.800000 154.000000 
3.000000 11.000000 209.660000 
3.000000 5.000000 258.000000 
3.000000 6.000000 269.000000 
3.000000 1.000000 269.000000 
3.000000 0.500000 269.000000 
3.000000 6.500000 281.500000 
3.000000 11.000000 307.660000 
3.000000 9.000000 275.500000 
3.000000 13.000000 260.660000 
3.000000 17.000000 277.750000 
3.000000 5.000000 349.000000 
3.000000 1.000000 -999.000000 
3.000000 14.000000 -999.000000 
