layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.300000 226.500000 
1.000000 0.200000 226.500000 
1.000000 1.800000 226.500000 
1.000000 3.000000 220.000000 
1.000000 0.500000 220.000000 
1.000000 7.500000 215.000000 
1.000000 3.000000 258.000000 
1.000000 2.000000 266.000000 
1.000000 11.000000 304.000000 
1.000000 4.000000 279.000000 
1.000000 2.300000 312.000000 
1.000000 0.700000 291.000000 
2.000000 2.000000 291.000000 
3.000000 10.000000 320.500000 
3.000000 0.500000 320.500000 
