layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 159.823827 
1.000000 10.500000 191.256762 
1.000000 1.000000 184.158115 
1.000000 3.000000 232.319025 
1.000000 4.000000 222.104539 
1.000000 1.000000 222.104539 
1.000000 10.000000 201.914242 
1.000000 2.000000 200.277191 
1.000000 5.000000 200.277191 
1.000000 14.000000 228.855289 
2.000000 2.000000 -999.000000 
3.000000 7.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 23.000000 -999.000000 
