layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 2.000000 125.000000 
1.000000 0.500000 125.000000 
1.000000 7.500000 125.000000 
1.000000 1.500000 336.000000 
1.000000 4.500000 130.000000 
1.000000 7.000000 194.000000 
1.000000 0.100000 222.000000 
1.000000 0.900000 222.000000 
1.000000 5.000000 222.000000 
1.000000 11.000000 303.000000 
1.000000 1.000000 313.000000 
1.000000 9.000000 313.000000 
1.000000 16.000000 357.000000 
1.000000 10.000000 345.000000 
1.000000 2.000000 389.000000 
1.000000 25.000000 407.720000 
1.000000 6.000000 376.000000 
1.000000 5.000000 319.000000 
1.000000 1.000000 257.000000 
2.000000 6.000000 257.000000 
3.000000 0.100000 269.000000 
3.000000 1.500000 269.000000 
3.000000 4.400000 269.000000 
3.000000 2.000000 269.000000 
3.000000 14.000000 -999.000000 
