layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 2.000000 114.500000 
1.000000 5.000000 147.700000 
1.000000 15.000000 136.000000 
1.000000 0.100000 204.000000 
1.000000 2.900000 204.000000 
1.000000 0.200000 204.000000 
1.000000 3.800000 232.000000 
1.000000 7.000000 149.000000 
1.000000 4.000000 228.500000 
1.000000 23.000000 330.347826 
1.000000 13.000000 332.000000 
1.000000 3.000000 353.500000 
1.000000 3.000000 363.500000 
1.000000 9.000000 338.700000 
1.000000 1.000000 236.000000 
2.000000 7.000000 236.000000 
3.000000 0.100000 370.200000 
3.000000 1.900000 370.200000 
3.000000 10.000000 279.500000 
3.000000 5.000000 -999.000000 
3.000000 15.000000 -999.000000 
