layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 123.756784 
1.000000 10.500000 166.890425 
1.000000 1.000000 203.534591 
1.000000 3.000000 228.039750 
1.000000 4.000000 208.387516 
1.000000 1.000000 208.387516 
1.000000 10.000000 219.249583 
1.000000 2.000000 219.392650 
1.000000 5.000000 247.261528 
1.000000 14.000000 283.466918 
2.000000 2.000000 283.466918 
3.000000 7.000000 283.466918 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 23.000000 -999.000000 
