layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.500000 148.000000 
1.000000 8.500000 151.176471 
1.000000 1.000000 160.000000 
1.000000 16.000000 166.000000 
1.000000 2.000000 178.000000 
1.000000 10.000000 181.600000 
1.000000 15.000000 224.533333 
1.000000 13.000000 283.307692 
1.000000 2.000000 302.000000 
1.000000 5.000000 323.800000 
1.000000 1.500000 324.000000 
1.000000 2.500000 310.400000 
1.000000 1.000000 307.000000 
1.000000 7.000000 254.714286 
1.000000 0.500000 235.000000 
1.000000 0.500000 235.000000 
1.000000 8.000000 273.625000 
1.000000 0.500000 262.000000 
1.000000 1.500000 262.000000 
2.000000 26.000000 262.166667 
3.000000 12.000000 -999.000000 
