layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.200000 67.000000 
1.000000 0.800000 67.000000 
1.000000 3.000000 67.000000 
1.000000 10.000000 89.000000 
1.000000 8.000000 99.000000 
1.000000 0.300000 171.000000 
1.000000 5.700000 171.000000 
1.000000 2.000000 171.000000 
1.000000 0.500000 280.000000 
1.000000 3.500000 280.000000 
1.000000 12.000000 250.000000 
1.000000 7.000000 297.000000 
1.000000 2.000000 297.000000 
1.000000 0.700000 255.000000 
2.000000 8.300000 255.000000 
3.000000 10.000000 -999.000000 
