layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 78.979892 
1.000000 10.500000 182.485197 
1.000000 1.000000 188.699084 
1.000000 3.000000 188.699084 
1.000000 4.000000 197.688076 
1.000000 1.000000 207.329119 
1.000000 10.000000 207.329119 
1.000000 2.000000 207.329119 
1.000000 5.000000 214.486401 
1.000000 14.000000 246.930427 
2.000000 2.000000 -999.000000 
3.000000 7.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 23.000000 -999.000000 
