layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 6.000000 69.000000 
1.000000 5.000000 188.500000 
1.000000 5.000000 209.000000 
1.000000 18.000000 243.000000 
1.000000 18.000000 246.500000 
1.000000 4.000000 263.000000 
1.000000 2.000000 295.000000 
1.000000 5.000000 295.000000 
1.000000 0.500000 295.000000 
1.000000 0.500000 294.000000 
1.000000 10.000000 294.000000 
1.000000 0.500000 231.300000 
2.000000 8.500000 231.300000 
3.000000 0.100000 361.000000 
3.000000 2.900000 361.000000 
3.000000 18.000000 281.000000 
3.000000 3.000000 -999.000000 
3.000000 9.000000 -999.000000 
