layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.200000 -999.000000 
1.000000 5.800000 145.000000 
1.000000 5.000000 241.000000 
1.000000 0.500000 173.000000 
1.000000 8.500000 173.000000 
1.000000 4.000000 141.000000 
1.000000 5.000000 265.000000 
1.000000 2.000000 284.000000 
1.000000 1.000000 284.000000 
2.000000 2.000000 252.000000 
3.000000 2.000000 252.000000 
3.000000 8.000000 292.000000 
3.000000 12.000000 383.000000 
3.000000 4.000000 294.000000 
3.000000 5.000000 309.000000 
3.000000 10.000000 286.000000 
