layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 15.000000 39.053691 
1.000000 21.000000 89.428571 
1.000000 7.000000 112.714286 
1.000000 11.000000 176.181818 
1.000000 4.000000 255.000000 
1.000000 1.000000 243.000000 
1.000000 4.000000 217.500000 
1.000000 0.200000 272.000000 
1.000000 5.800000 258.034483 
1.000000 1.000000 255.000000 
1.000000 3.000000 255.666667 
1.000000 11.000000 245.000000 
2.000000 0.500000 235.000000 
3.000000 8.500000 298.882353 
3.000000 0.100000 256.000000 
3.000000 0.400000 256.000000 
3.000000 11.500000 260.434783 
3.000000 4.000000 281.000000 
3.000000 12.000000 286.666667 
3.000000 10.000000 355.000000 
