layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 2.000000 112.500000 
1.000000 4.000000 112.500000 
1.000000 6.000000 161.500000 
1.000000 12.000000 237.000000 
1.000000 1.000000 253.000000 
1.000000 0.500000 253.000000 
1.000000 1.500000 253.000000 
1.000000 9.000000 252.500000 
1.000000 4.000000 268.500000 
2.000000 2.000000 268.500000 
3.000000 24.000000 353.250000 
3.000000 8.000000 361.500000 
3.000000 1.000000 359.000000 
3.000000 2.000000 359.000000 
3.000000 10.000000 338.000000 
3.000000 1.000000 258.000000 
3.000000 8.000000 258.000000 
3.000000 0.100000 332.000000 
3.000000 1.900000 332.000000 
3.000000 13.000000 299.000000 
3.000000 4.000000 -999.000000 
3.000000 12.000000 -999.000000 
