layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 122.699123 
1.000000 10.500000 177.285688 
1.000000 1.000000 251.294172 
1.000000 3.000000 209.501427 
1.000000 4.000000 208.060298 
1.000000 1.000000 208.060298 
1.000000 10.000000 195.575049 
1.000000 2.000000 194.834398 
1.000000 5.000000 195.695097 
1.000000 14.000000 225.295015 
2.000000 2.000000 -999.000000 
3.000000 7.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 23.000000 -999.000000 
