layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.300000 133.000000 
1.000000 0.500000 133.000000 
1.000000 4.200000 133.000000 
1.000000 8.000000 234.000000 
1.000000 20.000000 299.000000 
1.000000 9.000000 296.000000 
1.000000 6.000000 322.000000 
1.000000 2.000000 318.000000 
1.000000 0.500000 318.000000 
1.000000 10.500000 311.000000 
1.000000 1.000000 246.500000 
2.000000 7.000000 246.500000 
3.000000 0.100000 367.000000 
3.000000 2.900000 367.000000 
3.000000 7.000000 279.000000 
3.000000 2.000000 279.000000 
3.000000 8.000000 -999.000000 
3.000000 14.000000 -999.000000 
