layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 4.000000 116.000000 
1.000000 3.000000 148.000000 
1.000000 22.000000 272.000000 
1.000000 3.000000 221.000000 
1.000000 5.000000 294.000000 
1.000000 0.200000 218.000000 
1.000000 1.800000 218.000000 
1.000000 11.000000 265.000000 
1.000000 9.000000 230.000000 
2.000000 8.000000 228.000000 
3.000000 2.800000 370.000000 
3.000000 0.200000 370.000000 
3.000000 5.000000 283.000000 
3.000000 8.000000 310.000000 
3.000000 2.500000 348.000000 
3.000000 2.500000 353.000000 
3.000000 5.000000 353.000000 
3.000000 22.000000 398.000000 
