layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 62.114859 
1.000000 10.500000 152.872651 
1.000000 1.000000 263.176846 
1.000000 3.000000 198.376522 
1.000000 4.000000 198.376522 
1.000000 1.000000 193.586254 
1.000000 10.000000 189.666944 
1.000000 2.000000 189.666944 
1.000000 5.000000 189.666944 
1.000000 14.000000 231.870219 
2.000000 2.000000 -999.000000 
3.000000 7.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 23.000000 -999.000000 
