layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.500000 110.634752 
1.000000 10.500000 167.900881 
1.000000 1.000000 171.067056 
1.000000 3.000000 234.034901 
1.000000 4.000000 227.939656 
1.000000 1.000000 227.939656 
1.000000 10.000000 204.993092 
1.000000 2.000000 199.256451 
1.000000 5.000000 199.256451 
1.000000 14.000000 238.941347 
2.000000 2.000000 -999.000000 
3.000000 7.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 23.000000 -999.000000 
