layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 4.000000 85.780642 
1.000000 3.000000 85.780642 
1.000000 15.000000 105.064267 
1.000000 2.000000 153.680732 
1.000000 13.000000 162.536322 
1.000000 4.000000 198.287425 
1.000000 0.700000 195.153658 
1.000000 16.300000 225.620182 
1.000000 6.000000 270.234526 
1.000000 1.000000 290.776266 
2.000000 3.000000 308.283470 
3.000000 1.000000 308.283470 
3.000000 11.000000 308.283470 
3.000000 0.500000 308.283470 
3.000000 9.500000 308.283470 
3.000000 2.000000 308.283470 
3.000000 12.000000 308.283470 
3.000000 26.000000 -999.000000 
