layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.500000 86.000000 
1.000000 6.500000 89.230769 
1.000000 15.000000 136.933333 
1.000000 7.000000 184.714286 
1.000000 3.000000 168.333333 
1.000000 12.000000 201.750000 
1.000000 3.000000 274.333333 
1.000000 3.000000 303.666667 
1.000000 5.000000 263.200000 
1.000000 2.000000 277.000000 
1.000000 4.000000 207.750000 
1.000000 3.000000 239.000000 
1.000000 6.000000 271.833333 
1.000000 9.000000 323.777778 
1.000000 31.000000 363.258065 
1.000000 12.000000 368.750000 
1.000000 4.000000 374.500000 
1.000000 36.000000 413.916667 
1.000000 6.000000 388.500000 
1.000000 0.500000 289.000000 
1.000000 7.000000 307.642857 
1.000000 0.500000 376.000000 
1.000000 1.000000 376.000000 
2.000000 24.000000 296.125000 
3.000000 5.000000 -999.000000 
3.000000 3.000000 -999.000000 
3.000000 2.000000 -999.000000 
