layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 1.000000 214.000000 
1.000000 8.000000 174.250000 
1.000000 23.000000 161.043478 
2.000000 5.000000 271.000000 
3.000000 8.000000 311.875000 
3.000000 11.000000 309.636364 
3.000000 15.000000 326.466667 
3.000000 6.000000 339.333333 
3.000000 9.000000 357.111111 
3.000000 1.000000 352.000000 
3.000000 8.000000 282.250000 
3.000000 10.000000 280.900000 
3.000000 0.500000 250.000000 
3.000000 28.500000 274.585366 
3.000000 4.000000 -999.000000 
3.000000 0.500000 -999.000000 
3.000000 7.500000 -999.000000 
