layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.300000 114.000000 
1.000000 3.700000 114.000000 
1.000000 9.000000 149.000000 
1.000000 5.000000 197.000000 
1.000000 0.400000 242.000000 
1.000000 4.600000 242.000000 
1.000000 9.000000 317.000000 
1.000000 1.500000 328.000000 
1.000000 9.500000 316.000000 
1.000000 8.000000 309.000000 
1.000000 4.000000 371.000000 
1.000000 1.000000 361.000000 
1.000000 6.000000 361.000000 
1.000000 10.000000 299.000000 
2.000000 5.000000 263.000000 
3.000000 1.500000 329.000000 
3.000000 14.500000 381.000000 
3.000000 1.000000 -999.000000 
3.000000 9.000000 -999.000000 
3.000000 4.000000 -999.000000 
3.000000 8.000000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 10.000000 -999.000000 
