layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.200000 207.000000 
1.000000 2.800000 207.000000 
1.000000 2.500000 207.000000 
1.000000 2.500000 197.000000 
1.000000 8.000000 197.000000 
1.000000 3.000000 254.000000 
1.000000 2.000000 254.000000 
1.000000 8.000000 278.000000 
1.000000 3.000000 278.000000 
1.000000 3.000000 302.500000 
2.000000 0.800000 268.000000 
3.000000 3.200000 268.000000 
3.000000 4.000000 315.000000 
3.000000 2.000000 315.000000 
3.000000 6.000000 315.000000 
3.000000 0.500000 320.000000 
3.000000 3.500000 320.000000 
3.000000 10.000000 364.000000 
3.000000 2.000000 371.500000 
3.000000 6.000000 371.500000 
3.000000 0.200000 371.500000 
3.000000 7.800000 394.000000 
3.000000 6.000000 392.500000 
3.000000 10.000000 326.500000 
3.000000 7.000000 280.000000 
3.000000 3.000000 325.500000 
3.000000 14.000000 325.500000 
3.000000 18.000000 325.500000 
