layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 4.000000 102.253890 
1.000000 3.000000 102.253890 
1.000000 15.000000 109.685973 
1.000000 2.000000 133.049814 
1.000000 13.000000 145.829855 
1.000000 4.000000 176.605453 
1.000000 0.700000 175.888138 
1.000000 16.300000 220.867662 
1.000000 6.000000 304.062750 
1.000000 1.000000 286.276425 
2.000000 3.000000 286.276425 
3.000000 1.000000 286.276425 
3.000000 11.000000 286.276425 
3.000000 0.500000 -999.000000 
3.000000 9.500000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 12.000000 -999.000000 
3.000000 26.000000 -999.000000 
