layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 8.000000 100.000000 
1.000000 3.000000 125.000000 
1.000000 2.000000 125.000000 
1.000000 17.000000 177.000000 
1.000000 10.000000 130.000000 
1.000000 7.000000 237.000000 
1.000000 1.500000 160.000000 
2.000000 0.500000 160.000000 
3.000000 2.000000 160.000000 
3.000000 0.600000 160.000000 
3.000000 2.400000 162.000000 
3.000000 12.000000 246.000000 
3.000000 8.000000 267.000000 
3.000000 8.000000 -999.000000 
3.000000 48.000000 -999.000000 
3.000000 30.000000 -999.000000 
