layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.500000 161.083756 
1.000000 2.500000 161.083756 
1.000000 9.000000 161.083756 
1.000000 6.000000 161.083756 
1.000000 10.000000 192.889049 
1.000000 1.000000 243.882034 
1.000000 3.000000 265.893510 
1.000000 1.000000 291.388816 
1.000000 5.000000 291.388816 
1.000000 1.000000 291.388816 
1.000000 6.000000 294.047876 
1.000000 0.200000 357.865315 
1.000000 4.800000 357.865315 
1.000000 12.000000 326.859745 
2.000000 13.000000 268.096566 
3.000000 0.500000 271.178927 
3.000000 4.500000 271.178927 
3.000000 2.000000 271.178927 
3.000000 16.000000 271.178927 
3.000000 8.000000 -999.000000 
