layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 3.000000 280.000000 
1.000000 1.000000 202.000000 
1.000000 13.000000 165.000000 
1.000000 7.000000 181.000000 
1.000000 4.000000 218.000000 
1.000000 1.500000 290.000000 
1.000000 5.500000 278.000000 
1.000000 8.000000 302.000000 
2.000000 1.500000 226.000000 
3.000000 13.500000 270.000000 
3.000000 12.000000 270.000000 
3.000000 8.000000 291.000000 
3.000000 7.000000 -999.000000 
3.000000 29.000000 -999.000000 
3.000000 2.000000 -999.000000 
3.000000 14.000000 -999.000000 
