layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.500000 272.000000 
1.000000 2.500000 272.000000 
1.000000 9.000000 144.000000 
1.000000 0.200000 144.000000 
1.000000 1.800000 144.000000 
1.000000 6.000000 302.000000 
1.000000 5.000000 222.000000 
1.000000 0.500000 221.000000 
1.000000 3.500000 221.000000 
1.000000 0.200000 -999.000000 
2.000000 11.800000 -999.000000 
3.000000 1.000000 -999.000000 
3.000000 21.000000 -999.000000 
3.000000 11.000000 -999.000000 
3.000000 5.000000 -999.000000 
3.000000 44.000000 -999.000000 
