layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 3.000000 287.390000 
1.000000 4.000000 431.000000 
1.000000 0.100000 431.000000 
1.000000 1.900000 431.000000 
1.000000 0.100000 431.000000 
1.000000 5.900000 431.000000 
1.000000 12.000000 404.000000 
1.000000 1.000000 391.500000 
1.000000 6.000000 391.500000 
1.000000 1.000000 339.000000 
2.000000 8.000000 339.000000 
3.000000 0.500000 385.700000 
3.000000 4.500000 385.700000 
3.000000 0.500000 346.000000 
3.000000 17.500000 346.000000 
3.000000 1.000000 916.700000 
