layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.500000 55.394576 
1.000000 2.500000 55.394576 
1.000000 9.000000 55.394576 
1.000000 6.000000 55.394576 
1.000000 10.000000 190.569845 
1.000000 1.000000 255.543755 
1.000000 3.000000 255.543755 
1.000000 1.000000 255.543755 
1.000000 5.000000 255.543755 
1.000000 1.000000 316.931370 
1.000000 6.000000 333.249597 
1.000000 0.200000 333.249597 
1.000000 4.800000 333.249597 
1.000000 12.000000 294.776520 
2.000000 13.000000 263.034536 
3.000000 0.500000 290.933162 
3.000000 4.500000 290.933162 
3.000000 2.000000 290.933162 
3.000000 16.000000 -999.000000 
3.000000 8.000000 -999.000000 
