layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 4.000000 28.800000 
1.000000 6.000000 74.000000 
1.000000 8.000000 85.000000 
1.000000 15.000000 110.000000 
1.000000 9.000000 114.500000 
1.000000 1.000000 184.000000 
1.000000 4.000000 173.000000 
1.000000 12.000000 203.000000 
1.000000 1.000000 262.000000 
1.000000 2.000000 262.000000 
1.000000 2.000000 262.000000 
1.000000 0.500000 284.000000 
1.000000 3.500000 284.000000 
1.000000 20.800000 316.500000 
1.000000 0.200000 316.500000 
1.000000 9.000000 349.000000 
1.000000 10.000000 294.500000 
2.000000 6.000000 289.000000 
3.000000 2.000000 289.000000 
3.000000 14.000000 289.000000 
3.000000 2.000000 353.000000 
3.000000 10.000000 353.000000 
3.000000 1.000000 353.000000 
3.000000 5.000000 402.500000 
3.000000 13.000000 402.500000 
