layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 0.200000 109.000000 
1.000000 4.800000 109.000000 
1.000000 13.000000 145.000000 
1.000000 5.000000 182.000000 
1.000000 6.000000 201.000000 
1.000000 9.000000 257.000000 
1.000000 10.000000 232.000000 
1.000000 1.500000 399.000000 
1.000000 10.500000 288.000000 
1.000000 15.000000 351.000000 
1.000000 15.000000 401.000000 
1.000000 2.000000 382.000000 
1.000000 7.000000 382.000000 
1.000000 2.000000 382.000000 
1.000000 16.000000 428.000000 
1.000000 8.000000 407.000000 
1.000000 5.000000 352.000000 
1.000000 1.000000 276.000000 
2.000000 7.000000 276.000000 
3.000000 0.100000 303.000000 
3.000000 1.900000 303.000000 
3.000000 8.000000 303.000000 
3.000000 2.000000 -999.000000 
3.000000 7.000000 -999.000000 
3.000000 3.000000 -999.000000 
