layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 4.000000 227.000000 
1.000000 0.500000 227.000000 
1.000000 1.500000 179.000000 
1.000000 4.000000 179.000000 
1.000000 0.300000 276.000000 
1.000000 3.700000 276.000000 
1.000000 8.000000 297.000000 
1.000000 11.000000 283.000000 
1.000000 5.000000 262.000000 
1.000000 8.000000 321.500000 
1.000000 3.000000 261.000000 
1.000000 7.000000 282.000000 
2.000000 7.000000 256.000000 
3.000000 1.500000 343.000000 
3.000000 1.000000 343.000000 
3.000000 0.200000 343.000000 
3.000000 5.300000 308.000000 
3.000000 7.000000 308.000000 
3.000000 2.000000 329.000000 
3.000000 9.000000 351.000000 
3.000000 1.500000 351.000000 
3.000000 5.500000 410.000000 
3.000000 14.000000 410.000000 
